"","ANA","BAL","BOS","CHW","CLE","DET","KCR","MIN","NYY","OAK","SEA","TBD","TEX","TOR","ARI","ATL","CHC","CIN","COL","FLA","HOU","LAD","MIL","WSN","NYM","PHI","PIT","STL","SDP","SFG"
"98",36,30.5,40.7,42.7,49.3,37.2,24.1,17.9,39.5,40.7,43.9,22.7,21.1,38,41.4,49.9,28.7,40.9,37,31.7,36.7,43.3,25.7,30.6,46.5,28.9,30.3,48.7,28.3,51.2
"99",31.6,19.4,35.8,36.5,44.8,18.2,20,33.7,45.7,52.7,63.3,13.5,30.9,33.7,50.8,44.9,45.6,24.6,42.1,37.6,39.7,37,23.5,25.6,33,37.7,23,45.2,30.9,51.1
"100",46.2,25.1,48.8,37.6,34.1,18.8,23.9,43.4,60.6,47.4,50.2,17.5,32,34.9,51.3,43.5,38.1,31.3,23.2,33.4,40.7,42.1,21.1,35,33.6,39.3,23.6,45.3,30.9,56.4
"101",35.9,29.8,54.9,47.6,29.9,8.8,28.6,42.9,57.3,39.8,48.5,25,33.6,35.9,39.4,53.5,44.5,24.2,30.4,48.9,45.6,40.9,22.3,32.3,18.4,44.6,33,44.7,28.2,47.5
"102",46.4,42.6,47.7,38.8,37.5,35,18.9,41.1,42.7,41.7,29.3,29.1,36.9,28.5,18.2,49.1,50.6,26.7,27.8,37.6,47.9,47.2,33.8,22.7,27.4,43.5,30.9,53.3,44,42.1
"103",43.2,35.6,42.8,44.7,51.4,33.4,17.4,35.9,41.8,44.3,28,26.9,37.1,34.1,29.9,48,38.6,33.5,25.3,41.9,43.5,29.4,39.3,36.1,38.4,48,25.1,46.2,39.9,30.3
"104",40.1,27.9,33.6,40.1,40.8,42.4,23,46.9,46,36.3,36.8,25.2,34.4,44.2,32.9,37.1,29,37.9,37.4,35.9,43.2,43.4,35.8,27.6,48,44,25.5,33.4,44.9,32.3
"105",45.5,29.3,49.6,27.7,45.9,44.2,28.3,32.8,49,38.4,32.9,30.8,27.2,37.1,30.9,45.2,42.7,35.6,44,32.2,28.2,41.8,45.6,22.7,43.6,46.1,28.3,31.8,41.1,31.1
"106",38.9,27.4,51.5,40.6,39.6,27.7,30.3,35.1,40.5,32,22.7,50,34.8,42.4,37.4,38,52.1,29.2,31.9,38,36.9,42.9,40.9,24.7,43.4,50.4,21,45.9,32.2,31.2
"107",45.3,22.2,44.3,33.3,27.3,33.8,25.4,38,55,35.6,36.9,49.3,35.6,37.4,36,48.1,36.2,31,43,36.5,28.9,47.7,31.9,24.2,26.9,46.5,26.7,46.1,35.3,39.9
"108",31.9,24,44.3,42.7,24.7,42.3,20.5,47,48.3,37.9,23.6,48.4,45.4,40,28.3,43.5,32,50.1,39.8,37.6,29.6,35.2,39.3,29.5,32.6,45.1,15.8,40.9,42,47.6
"109",40.4,22.1,52.2,40.9,31,42.2,30.9,19,57.5,29,25.5,46.9,53.3,29.1,44.4,36.9,29.9,38.1,32.6,32.7,24.6,43.1,50.9,31.5,32.2,54,21.8,43.6,35,39.8
"110",47.2,34.2,31.4,37.3,23.9,49.2,33.6,23.3,50.5,41,30.3,47.6,49.6,23.6,40.7,47.5,23.8,48.5,21.3,31.9,19.7,41.1,46.9,47.6,33.8,44.2,29.5,48,32.5,44.4
"111",36.1,41.8,53.7,26,37.6,54.9,41,21.6,35.8,46.1,27,46.6,43.5,32.3,34.8,45.6,32.2,43.9,36.6,21.4,10.3,52.7,33,41.1,38.5,25.3,46.2,45.2,31.6,38.7
"112",48.3,43.5,32.1,28.4,40.8,42.8,40.7,33.6,42.3,43,36.9,38.5,28.4,38.4,28.7,35,40.4,34,29.6,34.5,28.1,52.3,35.3,51.5,34.9,34.1,40.4,42.2,29.4,37.2
"113",33.8,36.6,37.1,30.3,43.9,33.5,39.2,29.7,41.9,28.3,31.1,40.1,35,49.8,38.2,23.6,52.6,32.5,23.9,33.8,46.6,50.2,26.6,43.4,46.6,22.9,46.2,46.8,28.2,43.5
"114",27.5,35.4,53.9,34,45.2,37,24.7,21.6,33,19.4,34.4,29.7,29.7,42.6,27.2,27.1,60,19.8,35.9,38.4,40.8,50.5,28.7,50.1,46.4,29.5,30.2,41.3,29,45.8
"115",34.4,25.2,44.5,23.8,60.7,28.5,29.5,36.1,56,29.1,36.7,38.1,27.8,33.6,45.6,30.6,43.5,31.3,36.4,34.3,55.8,58.2,37.4,49.5,34,31.1,29.5,43.9,21.1,28.2
