"","franchID","yearID","W","WAR","source"
"123","CLV",1880,NA,23.6,"Baseball Reference"
"124","CNR",1880,21,NA,"Baseball Reference"
"125","PRO",1880,52,28.6,"Baseball Reference"
"126","TRO",1880,NA,16.1,"Baseball Reference"
"127","TRT",1880,41,NA,"Baseball Reference"
"128","WOR",1880,40,17.3,"Baseball Reference"
"129","ATL",1881,38,NA,"Baseball Reference"
"130","BUF",1881,45,16,"Baseball Reference"
"131","CBL",1881,36,NA,"Baseball Reference"
"132","CHC",1881,56,25.3,"Baseball Reference"
"133","CLV",1881,NA,18.3,"Baseball Reference"
"134","DTN",1881,41,19.7,"Baseball Reference"
"135","PRO",1881,47,16,"Baseball Reference"
"136","TRO",1881,NA,15.9,"Baseball Reference"
"137","TRT",1881,39,NA,"Baseball Reference"
"138","WOR",1881,32,8.9,"Baseball Reference"
"139","ATL",1882,45,NA,"Baseball Reference"
"140","BAL",1882,NA,-6.6,"Baseball Reference"
"141","BLO",1882,19,NA,"Baseball Reference"
"142","BUF",1882,45,19.5,"Baseball Reference"
"143","CBL",1882,42,NA,"Baseball Reference"
"144","CHC",1882,55,30.8,"Baseball Reference"
"145","CIN",1882,55,24.5,"Baseball Reference"
"146","CLV",1882,NA,21.4,"Baseball Reference"
"147","DTN",1882,42,12.7,"Baseball Reference"
"148","LOU",1882,42,17.5,"Baseball Reference"
"149","PHA",1882,41,9.1,"Baseball Reference"
"150","PIT",1882,39,13.2,"Baseball Reference"
"151","PRO",1882,52,23.7,"Baseball Reference"
"152","STL",1882,37,0.3,"Baseball Reference"
"153","TRO",1882,NA,10.6,"Baseball Reference"
"154","TRT",1882,35,NA,"Baseball Reference"
"155","WOR",1882,18,-3.1,"Baseball Reference"
"156","ATL",1883,63,NA,"Baseball Reference"
"157","BAL",1883,NA,-3.5,"Baseball Reference"
"158","BLO",1883,28,NA,"Baseball Reference"
"159","BUF",1883,52,21.7,"Baseball Reference"
"160","CBK",1883,32,NA,"Baseball Reference"
"161","CBL",1883,55,NA,"Baseball Reference"
"162","CHC",1883,59,21.6,"Baseball Reference"
"163","CIN",1883,61,25,"Baseball Reference"
"164","CLV",1883,NA,27.3,"Baseball Reference"
"165","COL",1883,NA,3,"Baseball Reference"
"166","DTN",1883,40,13.2,"Baseball Reference"
"167","LOU",1883,52,11.5,"Baseball Reference"
"168","NYP",1883,54,26.2,"Baseball Reference"
"169","PHA",1883,66,14.6,"Baseball Reference"
"170","PHI",1883,17,-8.2,"Baseball Reference"
"171","PIT",1883,31,1.3,"Baseball Reference"
"172","PRO",1883,58,31.4,"Baseball Reference"
"173","SFG",1883,46,NA,"Baseball Reference"
"174","STL",1883,65,25.8,"Baseball Reference"
"175","ALT",1884,6,-5.4,"Baseball Reference"
"176","ATL",1884,73,NA,"Baseball Reference"
"177","BAL",1884,NA,21.3,"Baseball Reference"
"178","BLO",1884,63,NA,"Baseball Reference"
"179","BLU",1884,58,-1.1,"Baseball Reference"
"180","BOS",1884,NA,2.8,"Baseball Reference"
"181","BRD",1884,58,NA,"Baseball Reference"
"182","BUF",1884,64,30.6,"Baseball Reference"
"183","CBK",1884,69,NA,"Baseball Reference"
"184","CBL",1884,35,NA,"Baseball Reference"
"185","CHC",1884,62,34,"Baseball Reference"
"186","CIN",1884,68,21.3,"Baseball Reference"
"187","CLV",1884,NA,7.6,"Baseball Reference"
"188","COL",1884,NA,29.5,"Baseball Reference"
"189","COR",1884,69,16.6,"Baseball Reference"
"190","CPI",1884,41,1,"Baseball Reference"
"191","DTN",1884,28,-0.4,"Baseball Reference"
"192","IHO",1884,29,NA,"Baseball Reference"
"193","IND",1884,NA,-4.7,"Baseball Reference"
"194","KCC",1884,NA,-17.1,"Baseball Reference"
"195","KCU",1884,16,NA,"Baseball Reference"
"196","LAD",1884,40,NA,"Baseball Reference"
"197","LOU",1884,68,32,"Baseball Reference"
"198","MIL",1884,NA,4.1,"Baseball Reference"
"199","MLU",1884,8,NA,"Baseball Reference"
"200","NYP",1884,75,31.5,"Baseball Reference"
"201","PHA",1884,61,21.7,"Baseball Reference"
"202","PHI",1884,39,-0.5,"Baseball Reference"
"203","PHK",1884,21,-11.5,"Baseball Reference"
"204","PIT",1884,30,-11.7,"Baseball Reference"
"205","PRO",1884,84,44.2,"Baseball Reference"
"206","RIC",1884,12,-2.2,"Baseball Reference"
"207","SFG",1884,62,NA,"Baseball Reference"
"208","SLM",1884,94,33,"Baseball Reference"
"209","STL",1884,67,16.6,"Baseball Reference"
"210","STP",1884,2,-0.7,"Baseball Reference"
"211","TOL",1884,46,10.8,"Baseball Reference"
"212","WAS",1884,NA,-11.1,"Baseball Reference"
"213","WIL",1884,2,-3.9,"Baseball Reference"
"214","WNA",1884,47,NA,"Baseball Reference"
"215","WST",1884,12,NA,"Baseball Reference"
"216","ATL",1885,46,NA,"Baseball Reference"
"217","BAL",1885,NA,3.7,"Baseball Reference"
"218","BLO",1885,41,NA,"Baseball Reference"
"219","BUF",1885,38,4.4,"Baseball Reference"
"220","CHC",1885,87,40,"Baseball Reference"
"221","CIN",1885,63,18.4,"Baseball Reference"
"222","DTN",1885,41,20.2,"Baseball Reference"
"223","LAD",1885,53,NA,"Baseball Reference"
"224","LOU",1885,53,14.9,"Baseball Reference"
"225","NYP",1885,44,7.9,"Baseball Reference"
"226","PHA",1885,55,14,"Baseball Reference"
"227","PHI",1885,56,23.2,"Baseball Reference"
"228","PIT",1885,56,20.5,"Baseball Reference"
"229","PRO",1885,53,18.4,"Baseball Reference"
"230","SFG",1885,85,NA,"Baseball Reference"
"231","SLM",1885,36,11,"Baseball Reference"
"232","STL",1885,79,25.7,"Baseball Reference"
"233","ATL",1886,56,NA,"Baseball Reference"
"234","BAL",1886,NA,-1.1,"Baseball Reference"
"235","BLO",1886,48,NA,"Baseball Reference"
"236","CHC",1886,90,43.7,"Baseball Reference"
"237","CIN",1886,65,15,"Baseball Reference"
"238","DTN",1886,87,45.4,"Baseball Reference"
"239","KCN",1886,30,-0.9,"Baseball Reference"
"240","LAD",1886,76,NA,"Baseball Reference"
"241","LOU",1886,66,23.6,"Baseball Reference"
"242","NYP",1886,53,11.7,"Baseball Reference"
"243","PHA",1886,63,5.9,"Baseball Reference"
"244","PHI",1886,71,32.3,"Baseball Reference"
"245","PIT",1886,80,34.2,"Baseball Reference"
"246","SFG",1886,75,NA,"Baseball Reference"
"247","SLM",1886,43,13.1,"Baseball Reference"
"248","STL",1886,93,43.3,"Baseball Reference"
"249","WNL",1886,28,NA,"Baseball Reference"
"250","ATL",1887,61,NA,"Baseball Reference"
"251","BAL",1887,NA,28.5,"Baseball Reference"
"252","BLO",1887,77,NA,"Baseball Reference"
"253","CHC",1887,71,34.2,"Baseball Reference"
"254","CIN",1887,81,28.2,"Baseball Reference"
"255","CLE",1887,NA,-5.8,"Baseball Reference"
"256","CLV",1887,39,NA,"Baseball Reference"
"257","DTN",1887,79,36.2,"Baseball Reference"
"258","IND",1887,37,5.4,"Baseball Reference"
"259","LAD",1887,60,NA,"Baseball Reference"
"260","LOU",1887,76,26.3,"Baseball Reference"
"261","NYP",1887,44,-1.7,"Baseball Reference"
"262","PHA",1887,64,17.8,"Baseball Reference"
"263","PHI",1887,75,33.7,"Baseball Reference"
"264","PIT",1887,55,20.4,"Baseball Reference"
"265","SFG",1887,68,NA,"Baseball Reference"
"266","STL",1887,95,35.6,"Baseball Reference"
"267","WNL",1887,46,NA,"Baseball Reference"
"268","ATL",1888,70,NA,"Baseball Reference"
"269","BAL",1888,NA,8.4,"Baseball Reference"
"270","BLO",1888,57,NA,"Baseball Reference"
"271","CHC",1888,77,31.1,"Baseball Reference"
"272","CIN",1888,80,27.3,"Baseball Reference"
"273","CLE",1888,NA,5.1,"Baseball Reference"
"274","CLV",1888,50,NA,"Baseball Reference"
"275","DTN",1888,68,32.5,"Baseball Reference"
"276","IND",1888,50,15.2,"Baseball Reference"
"277","KCC",1888,43,-6.4,"Baseball Reference"
"278","LAD",1888,88,NA,"Baseball Reference"
"279","LOU",1888,48,4.4,"Baseball Reference"
"280","PHA",1888,81,31.2,"Baseball Reference"
