"","franchID","yearID","WARP","W"
"203","BOS",1910,0,81
"204","BOS",1911,0,78
"205","BOS",1912,0,105
"206","BOS",1913,0,79
"207","BOS",1914,0,91
"208","BOS",1915,0,101
"209","BOS",1916,0,91
"210","BOS",1917,0,90
"211","BOS",1918,0,75
"212","BOS",1919,0,66
"213","BOS",1920,0,72
"214","BOS",1921,0,75
"215","BOS",1922,0,61
"216","BOS",1923,0,61
"217","BOS",1924,0,67
"218","BOS",1925,0,47
"219","BOS",1926,0,46
"220","BOS",1927,0,51
"221","BOS",1928,0,57
"222","BOS",1929,0,58
"223","BOS",1930,0,52
"224","BOS",1931,0,62
"225","BOS",1932,0,43
"226","BOS",1933,0,63
"227","BOS",1934,0,76
"228","BOS",1935,0,78
"229","BOS",1936,0,74
"230","BOS",1937,0,80
"231","BOS",1938,0,88
"232","BOS",1939,0,89
"233","BOS",1940,0,82
"234","BOS",1941,0,84
"235","BOS",1942,0,93
"236","BOS",1943,0,68
"237","BOS",1944,0,77
"238","BOS",1945,0,71
"239","BOS",1946,0,104
"240","BOS",1947,0,83
"241","BOS",1948,0,96
"242","BOS",1949,35.23,96
"243","BOS",1950,26.72,94
"244","BOS",1951,49.51,87
"245","BOS",1952,36.45,76
"246","BOS",1953,28.4,84
"247","BOS",1954,34.84,69
"248","BOS",1955,42.42,84
"249","BOS",1956,34.42,84
"250","BOS",1957,35.48,82
"251","BOS",1958,22.66,79
"252","BOS",1959,13.61,75
"253","BOS",1960,12.82,65
"254","BOS",1961,20.01,76
"255","BOS",1962,23.97,76
"256","BOS",1963,23.46,76
"257","BOS",1964,10.18,72
"258","BOS",1965,10.88,62
"259","BOS",1966,9.95,72
"260","BOS",1967,36.61,92
"261","BOS",1968,15.52,86
"262","BOS",1969,35.49,87
"263","BOS",1970,36.56,87
"264","BOS",1971,33.6,85
"265","BOS",1972,19.17,85
"266","BOS",1973,36.28,89
"267","BOS",1974,14.05,84
"268","BOS",1975,-4.39,95
"269","BOS",1976,26.62,83
"270","BOS",1977,34.71,97
"271","BOS",1978,29.41,99
"272","BOS",1979,45.14,91
"273","BOS",1980,37.59,83
"274","BOS",1981,23.26,59
"275","BOS",1982,29.84,89
"276","BOS",1983,18.65,78
"277","BOS",1984,34.61,86
"278","BOS",1985,39.26,81
"279","BOS",1986,34.28,95
"280","BOS",1987,35.03,78
"281","BOS",1988,45.31,89
"282","BOS",1989,43.99,83
"283","BOS",1990,37.98,88
"284","BOS",1991,41.21,84
"285","BOS",1992,34.32,73
"286","BOS",1993,34.49,80
"287","BOS",1994,19.37,54
"288","BOS",1995,40.08,86
"289","BOS",1996,33.4,85
"290","BOS",1997,29.11,78
"291","BOS",1998,51.65,92
"292","BOS",1999,46.22,94
"293","BOS",2000,37.91,85
"294","BOS",2001,38.92,82
"295","BOS",2002,55.39,93
"296","BOS",2003,58.92,95
"297","BOS",2004,51.74,98
"298","BOS",2005,49.01,95
"299","BOS",2006,36.59,86
"300","BOS",2007,54.85,96
"301","BOS",2008,46.27,95
"302","BOS",2009,39.1,95
"303","BOS",2010,35.46,89
"304","BOS",2011,40.47,90
"305","BOS",2012,23.94,69
"306","BOS",2013,51.43,97
"307","BOS",2014,19.65,71
"308","BOS",2015,25.45,78
"309","BOS",2016,46.93,93
"310","BOS",2017,37.45,NA
"311","BR1",1872,0,NA
"312","BR2",1872,0,NA
"313","BR2",1873,0,NA
"314","BR2",1874,0,NA
"315","BR2",1875,0,NA
"316","BR3",1884,0,NA
"317","BR3",1885,0,NA
"318","BR3",1886,0,NA
"319","BR3",1887,0,NA
"320","BR3",1888,0,NA
"321","BR3",1889,0,NA
"322","BR4",1890,0,NA
"323","BRF",1914,0,NA
"324","BRF",1915,0,NA
"325","BRO",1890,0,NA
"326","BRO",1891,0,NA
"327","BRO",1892,0,NA
"328","BRO",1893,0,NA
"329","BRO",1894,0,NA
"330","BRO",1895,0,NA
"331","BRO",1896,0,NA
"332","BRO",1897,0,NA
"333","BRO",1898,0,NA
"334","BRO",1899,0,NA
"335","BRO",1900,0,NA
"336","BRO",1901,0,NA
"337","BRO",1902,0,NA
"338","BRO",1903,0,NA
"339","BRO",1904,0,NA
"340","BRO",1905,0,NA
"341","BRO",1906,0,NA
"342","BRO",1907,0,NA
"343","BRO",1908,0,NA
"344","BRO",1909,0,NA
"345","BRO",1910,0,NA
"346","BRO",1911,0,NA
"347","BRO",1912,0,NA
"348","BRO",1913,0,NA
"349","BRO",1914,0,NA
"350","BRO",1915,0,NA
"351","BRO",1916,0,NA
"352","BRO",1917,0,NA
"353","BRO",1918,0,NA
"354","BRO",1919,0,NA
"355","BRO",1920,0,NA
